Date,Russia_Total,Ukraine_Total,,Russia_Destroyed,Ukraine_Destroyed,,Russia_Damaged,Ukraine_Damaged,,Russia_Abandoned,Ukraine_Abandoned,,Russia_Captured,Ukraine_Captured,,Russia_Tanks,Ukraine_Tanks,Russia_Tank_Capture,Ukraine_Tank_Capture,,Russia_AFV,Ukraine_AFV,Russia_AFV_Capture,Ukraine_AFV_Capture,,Russia_IFV,Ukraine_IFV,,Russia_APC,Ukraine_APC,,Russia_IMV,Ukraine_IMV,,Russia_Engineering,Ukraine_Engineering,,Russia_Coms,Ukraine_Coms,,Russia_Vehicles,Ukraine_Vehicles,,Russia_Aircraft,Ukraine_Aircraft,,Russia_Infantry,Ukraine_Infantry,,Russia_Logistics,Ukraine_Logistics,,Russia_Armor,Ukraine_Armor,,Russia_Antiair,Ukraine_Antiair,,UNHCR Ukraine Refugees
2022-02-24,0,0,,0,0,,0,0,,0,0,,0,0,,1,1,0,0,,5,2,1,2,,1,5,,0,2,,2,1,,3,0,,0,0,,9,16,,4,2,,3,8,,3,0,,6,3,,1,5,,84681
2022-02-25,52,59,,25,27,,5,5,,2,10,,20,17,,2,4,0,1,,7,2,1,4,,4,6,,0,2,,5,1,,3,0,,0,0,,19,26,,5,3,,9,9,,3,0,,9,5,,2,5,,192982
2022-02-26,107,88,,42,36,,6,4,,10,31,,49,17,,7,9,0,2,,7,10,1,4,,11,9,,0,3,,7,2,,12,0,,2,0,,37,32,,5,3,,18,14,,14,0,,14,14,,3,5,,341301
2022-02-27,161,96,,71,38,,6,4,,22,35,,62,19,,9,9,0,2,,11,13,1,6,,15,9,,6,3,,11,4,,12,0,,2,0,,66,34,,6,3,,32,16,,14,0,,20,17,,4,5,,509665
2022-02-28,321,147,,139,53,,7,4,,72,38,,103,52,,41,15,1,11,,31,21,5,10,,43,9,,14,9,,20,6,,16,0,,2,0,,108,35,,7,5,,77,24,,18,0,,72,27,,15,5,,672139
2022-03-01,358,151,,154,55,,8,4,,81,39,,115,53,,44,15,1,11,,36,22,5,12,,48,9,,14,9,,22,6,,17,0,,3,0,,117,35,,9,5,,84,24,,20,0,,80,28,,16,5,,838829
2022-03-02,470,166,,191,62,,7,4,,122,43,,150,57,,55,19,3,16,,49,22,5,17,,62,9,,24,9,,24,8,,23,0,,5,0,,162,40,,12,5,,110,26,,28,0,,104,28,,20,5,,1033312
2022-03-03,529,180,,217,69,,8,4,,129,43,,175,64,,65,29,10,22,,55,24,6,18,,71,18,,28,13,,24,11,,24,0,,7,0,,177,44,,12,5,,123,42,,31,0,,120,31,,20,5,,1201217
2022-03-04,622,201,,246,77,,9,4,,139,44,,228,76,,91,38,17,39,,65,25,7,27,,80,20,,33,14,,25,12,,26,0,,8,0,,204,47,,15,7,,138,46,,34,0,,156,32,,25,5,,1373316
2022-03-05,724,229,,285,83,,10,4,,147,44,,282,98,,106,40,19,50,,73,32,13,32,,105,23,,41,16,,29,13,,33,1,,8,0,,224,56,,22,8,,175,52,,41,1,,179,40,,27,5,,1570836
