OBJECTID,ID_0,ISO,NAME_0,ID_1,Region,HASC_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1,Condition,date,Opacity
1,240,UKR,Ukraine,1,Cherkasy,UA.CK,Oblast',Region,,Cherkas'ka Oblast'|Cherkasskaya Oblast'|Cherkassy,ukraine Liberated,2/15/2022,0.1
2,240,UKR,Ukraine,2,Chernihiv,UA.CH,Oblast',Region,,Chernigov|Tschernigow,Ukrainian counter-attack,2/15/2022,0.1
3,240,UKR,Ukraine,3,Chernivtsi,UA.CV,Oblast',Region,,Chernivets'ka Oblast'|Chernovitskaya Oblast'|Chernovtsy|Czernowitz|Tschernowzy|Tchernovtsy,ukraine Liberated,2/15/2022,0.1
4,240,UKR,Ukraine,4,Crimea,UA.KR,Autonomous Republic,Autonomous Republic,,Crimée|Criméia|Krim|Krymskaya Respublika|Respublika Krym,Russian military control,2/15/2022,0.1
5,240,UKR,Ukraine,5,Dnipropetrovs'k,UA.DP,Oblast',Region,,Dnipropetrovsk|Dniepropietrovsk|Dnjepropetrowsk,ukraine Liberated,2/15/2022,0.1
6,240,UKR,Ukraine,6,Donets'k,UA.DT,Oblast',Region,,Donetsk|Donetskaya Oblast'|Donezk|Stalino,Russian military control,2/15/2022,0.1
7,240,UKR,Ukraine,7,Ivano-Frankivs'k,UA.IF,Oblast',Region,,Ivano-Frankovsk|Ivano-Frankovskaya Oblast'|Stanislav,ukraine Liberated,2/15/2022,0.1
8,240,UKR,Ukraine,8,Kharkiv,UA.KK,Oblast',Region,,Charkow|Jarkov|Karkov|Khar'kov,Russian military control,2/15/2022,0.1
9,240,UKR,Ukraine,9,Kherson,UA.KS,Oblast',Region,,Cherson|Khersons'ka Oblast',Russian military control,2/15/2022,0.1
10,240,UKR,Ukraine,10,Khmel'nyts'kyy,UA.KM,Oblast',Region,,Khmelnitsky|Khmelnytskyi|Chmelnizkij|Hmelnicki|Kamenets-Podol'skaya Oblast'|Khmel'nyts'ka Oblast',ukraine Liberated,2/15/2022,0.5
11,240,UKR,Ukraine,11,Kiev City,UA.KC,Independent City,Independent City,,Kyiv,Ukrainian counter-attack,2/15/2022,0.5
12,240,UKR,Ukraine,12,Kiev,UA.KV,Oblast',Region,,Kiev Oblast|Kiew|Kijew|Kiiv|Kijev|Kiyev|Kyiv|Kyjiv|Kyyiv|Kyyivs'ka Oblast',Ukrainian counter-attack,2/15/2022,0.5
13,240,UKR,Ukraine,13,Kirovohrad,UA.KH,Oblast',Region,,Kirovograd|Kirovogradskaya Oblast',ukraine Liberated,2/15/2022,0.5
14,240,UKR,Ukraine,14,L'viv,UA.LV,Oblast',Region,,Lemberg|Llvov|L'vov|Lwow|L'vivs'ka Oblast',ukraine Liberated,2/15/2022,0.5
15,240,UKR,Ukraine,15,Luhans'k,UA.LH,Oblast',Region,,Luhansk|Lugansk|Luhans'ka Oblast'|Voroshilovgrad,Russian military control,2/15/2022,0.5
16,240,UKR,Ukraine,16,Mykolayiv,UA.MY,Oblast',Region,,Mykolaiv|Nikolajew|Nikolayev,ukraine Liberated,2/15/2022,0.5
